,path,classes,species
0,../Dataset/train\rabbits\rabbits000.jpg,0,0
1,../Dataset/train\rabbits\rabbits001.jpg,0,0
2,../Dataset/train\rabbits\rabbits002.jpg,0,0
3,../Dataset/train\rabbits\rabbits003.jpg,0,0
4,../Dataset/train\rabbits\rabbits004.jpg,0,0
5,../Dataset/train\rabbits\rabbits005.jpg,0,0
6,../Dataset/train\rabbits\rabbits006.jpg,0,0
7,../Dataset/train\rabbits\rabbits007.jpg,0,0
8,../Dataset/train\rabbits\rabbits008.jpg,0,0
9,../Dataset/train\rabbits\rabbits009.jpg,0,0
10,../Dataset/train\rabbits\rabbits010.jpg,0,0
11,../Dataset/train\rabbits\rabbits011.jpg,0,0
12,../Dataset/train\rabbits\rabbits012.jpg,0,0
13,../Dataset/train\rabbits\rabbits013.jpg,0,0
14,../Dataset/train\rabbits\rabbits014.jpg,0,0
15,../Dataset/train\rabbits\rabbits015.jpg,0,0
16,../Dataset/train\rabbits\rabbits016.jpg,0,0
17,../Dataset/train\rabbits\rabbits017.jpg,0,0
18,../Dataset/train\rabbits\rabbits018.jpg,0,0
19,../Dataset/train\rabbits\rabbits019.jpg,0,0
20,../Dataset/train\rabbits\rabbits020.jpg,0,0
21,../Dataset/train\rabbits\rabbits021.jpg,0,0
22,../Dataset/train\rabbits\rabbits022.jpg,0,0
23,../Dataset/train\rabbits\rabbits023.jpg,0,0
24,../Dataset/train\rabbits\rabbits024.jpg,0,0
25,../Dataset/train\rabbits\rabbits025.jpg,0,0
26,../Dataset/train\rabbits\rabbits026.jpg,0,0
27,../Dataset/train\rabbits\rabbits027.jpg,0,0
28,../Dataset/train\rabbits\rabbits028.jpg,0,0
29,../Dataset/train\rabbits\rabbits029.jpg,0,0
30,../Dataset/train\rabbits\rabbits030.jpg,0,0
31,../Dataset/train\rabbits\rabbits031.jpg,0,0
32,../Dataset/train\rabbits\rabbits032.jpg,0,0
33,../Dataset/train\rabbits\rabbits033.jpg,0,0
34,../Dataset/train\rabbits\rabbits034.jpg,0,0
35,../Dataset/train\rabbits\rabbits035.jpg,0,0
36,../Dataset/train\rabbits\rabbits036.jpg,0,0
37,../Dataset/train\rabbits\rabbits037.jpg,0,0
38,../Dataset/train\rabbits\rabbits038.jpg,0,0
39,../Dataset/train\rabbits\rabbits039.jpg,0,0
40,../Dataset/train\rabbits\rabbits040.jpg,0,0
41,../Dataset/train\rabbits\rabbits041.jpg,0,0
42,../Dataset/train\rabbits\rabbits042.jpg,0,0
43,../Dataset/train\rabbits\rabbits043.jpg,0,0
44,../Dataset/train\rabbits\rabbits044.jpg,0,0
45,../Dataset/train\rabbits\rabbits045.jpg,0,0
46,../Dataset/train\rabbits\rabbits046.jpg,0,0
47,../Dataset/train\rabbits\rabbits047.jpg,0,0
48,../Dataset/train\rabbits\rabbits048.jpg,0,0
49,../Dataset/train\rabbits\rabbits049.jpg,0,0
50,../Dataset/train\rabbits\rabbits050.jpg,0,0
51,../Dataset/train\rabbits\rabbits051.jpg,0,0
52,../Dataset/train\rabbits\rabbits052.jpg,0,0
53,../Dataset/train\rabbits\rabbits053.jpg,0,0
54,../Dataset/train\rabbits\rabbits054.jpg,0,0
55,../Dataset/train\rabbits\rabbits055.jpg,0,0
56,../Dataset/train\rabbits\rabbits056.jpg,0,0
57,../Dataset/train\rabbits\rabbits057.jpg,0,0
58,../Dataset/train\rabbits\rabbits058.jpg,0,0
59,../Dataset/train\rabbits\rabbits059.jpg,0,0
60,../Dataset/train\rabbits\rabbits060.jpg,0,0
61,../Dataset/train\rabbits\rabbits061.jpg,0,0
62,../Dataset/train\rabbits\rabbits062.jpg,0,0
63,../Dataset/train\rabbits\rabbits063.jpg,0,0
64,../Dataset/train\rabbits\rabbits064.jpg,0,0
65,../Dataset/train\rabbits\rabbits065.jpg,0,0
66,../Dataset/train\rabbits\rabbits066.jpg,0,0
67,../Dataset/train\rabbits\rabbits067.jpg,0,0
68,../Dataset/train\rabbits\rabbits068.jpg,0,0
69,../Dataset/train\rabbits\rabbits069.jpg,0,0
70,../Dataset/train\rabbits\rabbits070.jpg,0,0
71,../Dataset/train\rabbits\rabbits071.jpg,0,0
72,../Dataset/train\rabbits\rabbits072.jpg,0,0
73,../Dataset/train\rabbits\rabbits073.jpg,0,0
74,../Dataset/train\rabbits\rabbits074.jpg,0,0
75,../Dataset/train\rabbits\rabbits075.jpg,0,0
76,../Dataset/train\rabbits\rabbits076.jpg,0,0
77,../Dataset/train\rabbits\rabbits077.jpg,0,0
78,../Dataset/train\rabbits\rabbits078.jpg,0,0
79,../Dataset/train\rabbits\rabbits079.jpg,0,0
80,../Dataset/train\rabbits\rabbits080.jpg,0,0
81,../Dataset/train\rabbits\rabbits081.jpg,0,0
82,../Dataset/train\rabbits\rabbits082.jpg,0,0
83,../Dataset/train\rabbits\rabbits083.jpg,0,0
84,../Dataset/train\rabbits\rabbits084.jpg,0,0
85,../Dataset/train\rabbits\rabbits085.jpg,0,0
86,../Dataset/train\rabbits\rabbits086.jpg,0,0
87,../Dataset/train\rabbits\rabbits087.jpg,0,0
88,../Dataset/train\rabbits\rabbits088.jpg,0,0
89,../Dataset/train\rabbits\rabbits089.jpg,0,0
90,../Dataset/train\rabbits\rabbits090.jpg,0,0
91,../Dataset/train\rabbits\rabbits091.jpg,0,0
92,../Dataset/train\rabbits\rabbits092.jpg,0,0
93,../Dataset/train\rabbits\rabbits093.jpg,0,0
94,../Dataset/train\rabbits\rabbits094.jpg,0,0
95,../Dataset/train\rabbits\rabbits095.jpg,0,0
96,../Dataset/train\rabbits\rabbits096.jpg,0,0
97,../Dataset/train\rabbits\rabbits097.jpg,0,0
98,../Dataset/train\rabbits\rabbits098.jpg,0,0
99,../Dataset/train\rabbits\rabbits099.jpg,0,0
100,../Dataset/train\rabbits\rabbits100.jpg,0,0
101,../Dataset/train\rabbits\rabbits101.jpg,0,0
102,../Dataset/train\rabbits\rabbits102.jpg,0,0
103,../Dataset/train\rabbits\rabbits103.jpg,0,0
104,../Dataset/train\rabbits\rabbits104.jpg,0,0
105,../Dataset/train\rabbits\rabbits105.jpg,0,0
106,../Dataset/train\rabbits\rabbits106.jpg,0,0
107,../Dataset/train\rabbits\rabbits107.jpg,0,0
108,../Dataset/train\rabbits\rabbits108.jpg,0,0
109,../Dataset/train\rabbits\rabbits109.jpg,0,0
110,../Dataset/train\rabbits\rabbits110.jpg,0,0
111,../Dataset/train\rabbits\rabbits111.jpg,0,0
112,../Dataset/train\rabbits\rabbits112.jpg,0,0
113,../Dataset/train\rabbits\rabbits113.jpg,0,0
114,../Dataset/train\rabbits\rabbits114.jpg,0,0
115,../Dataset/train\rabbits\rabbits115.jpg,0,0
116,../Dataset/train\rabbits\rabbits116.jpg,0,0
117,../Dataset/train\rabbits\rabbits117.jpg,0,0
118,../Dataset/train\rabbits\rabbits118.jpg,0,0
119,../Dataset/train\rabbits\rabbits119.jpg,0,0
120,../Dataset/train\rabbits\rabbits120.jpg,0,0
121,../Dataset/train\rabbits\rabbits121.jpg,0,0
122,../Dataset/train\rabbits\rabbits122.jpg,0,0
123,../Dataset/train\rabbits\rabbits123.jpg,0,0
124,../Dataset/train\rabbits\rabbits124.jpg,0,0
125,../Dataset/train\rabbits\rabbits125.jpg,0,0
126,../Dataset/train\rabbits\rabbits126.jpg,0,0
127,../Dataset/train\rabbits\rabbits127.jpg,0,0
128,../Dataset/train\rabbits\rabbits128.jpg,0,0
129,../Dataset/train\rabbits\rabbits129.jpg,0,0
130,../Dataset/train\rabbits\rabbits130.jpg,0,0
131,../Dataset/train\rabbits\rabbits131.jpg,0,0
132,../Dataset/train\rabbits\rabbits132.jpg,0,0
133,../Dataset/train\rabbits\rabbits133.jpg,0,0
134,../Dataset/train\rabbits\rabbits134.jpg,0,0
135,../Dataset/train\rabbits\rabbits135.jpg,0,0
136,../Dataset/train\rabbits\rabbits136.jpg,0,0
137,../Dataset/train\rabbits\rabbits137.jpg,0,0
138,../Dataset/train\rabbits\rabbits138.jpg,0,0
139,../Dataset/train\rabbits\rabbits139.jpg,0,0
140,../Dataset/train\rabbits\rabbits140.jpg,0,0
141,../Dataset/train\rabbits\rabbits141.jpg,0,0
142,../Dataset/train\rabbits\rabbits142.jpg,0,0
143,../Dataset/train\rabbits\rabbits143.jpg,0,0
144,../Dataset/train\rabbits\rabbits144.jpg,0,0
145,../Dataset/train\rabbits\rabbits145.jpg,0,0
146,../Dataset/train\rabbits\rabbits146.jpg,0,0
147,../Dataset/train\rabbits\rabbits147.jpg,0,0
148,../Dataset/train\rabbits\rabbits148.jpg,0,0
149,../Dataset/train\rabbits\rabbits149.jpg,0,0
150,../Dataset/train\rabbits\rabbits150.jpg,0,0
151,../Dataset/train\rabbits\rabbits151.jpg,0,0
152,../Dataset/train\rabbits\rabbits152.jpg,0,0
153,../Dataset/train\rabbits\rabbits153.jpg,0,0
154,../Dataset/train\rabbits\rabbits154.jpg,0,0
155,../Dataset/train\rabbits\rabbits155.jpg,0,0
156,../Dataset/train\rabbits\rabbits156.jpg,0,0
157,../Dataset/train\rabbits\rabbits157.jpg,0,0
158,../Dataset/train\rabbits\rabbits158.jpg,0,0
159,../Dataset/train\rabbits\rabbits159.jpg,0,0
160,../Dataset/train\rabbits\rabbits160.jpg,0,0
161,../Dataset/train\rabbits\rabbits161.jpg,0,0
162,../Dataset/train\rabbits\rabbits162.jpg,0,0
163,../Dataset/train\rabbits\rabbits163.jpg,0,0
164,../Dataset/train\rabbits\rabbits164.jpg,0,0
165,../Dataset/train\rabbits\rabbits165.jpg,0,0
166,../Dataset/train\rabbits\rabbits166.jpg,0,0
167,../Dataset/train\rabbits\rabbits167.jpg,0,0
168,../Dataset/train\rabbits\rabbits168.jpg,0,0
169,../Dataset/train\rabbits\rabbits169.jpg,0,0
170,../Dataset/train\rabbits\rabbits170.jpg,0,0
171,../Dataset/train\rabbits\rabbits171.jpg,0,0
172,../Dataset/train\rabbits\rabbits172.jpg,0,0
173,../Dataset/train\rabbits\rabbits173.jpg,0,0
174,../Dataset/train\rabbits\rabbits174.jpg,0,0
175,../Dataset/train\rabbits\rabbits175.jpg,0,0
176,../Dataset/train\rabbits\rabbits176.jpg,0,0
177,../Dataset/train\rabbits\rabbits177.jpg,0,0
178,../Dataset/train\rabbits\rabbits178.jpg,0,0
179,../Dataset/train\rabbits\rabbits179.jpg,0,0
180,../Dataset/train\rabbits\rabbits180.jpg,0,0
181,../Dataset/train\rabbits\rabbits181.jpg,0,0
182,../Dataset/train\rabbits\rabbits182.jpg,0,0
183,../Dataset/train\rabbits\rabbits183.jpg,0,0
184,../Dataset/train\rabbits\rabbits184.jpg,0,0
185,../Dataset/train\rabbits\rabbits185.jpg,0,0
186,../Dataset/train\rabbits\rabbits186.jpg,0,0
187,../Dataset/train\rabbits\rabbits187.jpg,0,0
188,../Dataset/train\rabbits\rabbits188.jpg,0,0
189,../Dataset/train\rabbits\rabbits189.jpg,0,0
190,../Dataset/train\rabbits\rabbits190.jpg,0,0
191,../Dataset/train\rabbits\rabbits191.jpg,0,0
192,../Dataset/train\rabbits\rabbits192.jpg,0,0
193,../Dataset/train\rabbits\rabbits193.jpg,0,0
194,../Dataset/train\rabbits\rabbits194.jpg,0,0
195,../Dataset/train\rabbits\rabbits195.jpg,0,0
196,../Dataset/train\rabbits\rabbits196.jpg,0,0
197,../Dataset/train\rabbits\rabbits197.jpg,0,0
198,../Dataset/train\rabbits\rabbits198.jpg,0,0
199,../Dataset/train\rabbits\rabbits199.jpg,0,0
200,../Dataset/train\rabbits\rabbits200.jpg,0,0
201,../Dataset/train\rabbits\rabbits201.jpg,0,0
202,../Dataset/train\rabbits\rabbits202.jpg,0,0
203,../Dataset/train\rabbits\rabbits203.jpg,0,0
204,../Dataset/train\rabbits\rabbits204.jpg,0,0
205,../Dataset/train\rabbits\rabbits205.jpg,0,0
206,../Dataset/train\rabbits\rabbits206.jpg,0,0
207,../Dataset/train\rabbits\rabbits207.jpg,0,0
208,../Dataset/train\rabbits\rabbits208.jpg,0,0
209,../Dataset/train\rabbits\rabbits209.jpg,0,0
210,../Dataset/train\rabbits\rabbits210.jpg,0,0
211,../Dataset/train\rabbits\rabbits211.jpg,0,0
212,../Dataset/train\rabbits\rabbits212.jpg,0,0
213,../Dataset/train\rabbits\rabbits213.jpg,0,0
214,../Dataset/train\rabbits\rabbits214.jpg,0,0
215,../Dataset/train\rabbits\rabbits215.jpg,0,0
216,../Dataset/train\rabbits\rabbits216.jpg,0,0
217,../Dataset/train\rabbits\rabbits217.jpg,0,0
218,../Dataset/train\rabbits\rabbits218.jpg,0,0
219,../Dataset/train\rabbits\rabbits219.jpg,0,0
220,../Dataset/train\rabbits\rabbits220.jpg,0,0
221,../Dataset/train\rabbits\rabbits221.jpg,0,0
222,../Dataset/train\rabbits\rabbits222.jpg,0,0
223,../Dataset/train\rabbits\rabbits223.jpg,0,0
224,../Dataset/train\rabbits\rabbits224.jpg,0,0
225,../Dataset/train\rabbits\rabbits225.jpg,0,0
226,../Dataset/train\rabbits\rabbits226.jpg,0,0
227,../Dataset/train\rabbits\rabbits227.jpg,0,0
228,../Dataset/train\rabbits\rabbits228.jpg,0,0
229,../Dataset/train\rabbits\rabbits229.jpg,0,0
230,../Dataset/train\rabbits\rabbits230.jpg,0,0
231,../Dataset/train\rabbits\rabbits231.jpg,0,0
232,../Dataset/train\rabbits\rabbits232.jpg,0,0
233,../Dataset/train\rabbits\rabbits233.jpg,0,0
234,../Dataset/train\rabbits\rabbits234.jpg,0,0
235,../Dataset/train\rabbits\rabbits235.jpg,0,0
236,../Dataset/train\rabbits\rabbits236.jpg,0,0
237,../Dataset/train\rabbits\rabbits237.jpg,0,0
238,../Dataset/train\rabbits\rabbits238.jpg,0,0
239,../Dataset/train\rabbits\rabbits239.jpg,0,0
240,../Dataset/train\rabbits\rabbits240.jpg,0,0
241,../Dataset/train\rabbits\rabbits241.jpg,0,0
242,../Dataset/train\rabbits\rabbits242.jpg,0,0
243,../Dataset/train\rabbits\rabbits243.jpg,0,0
244,../Dataset/train\rabbits\rabbits244.jpg,0,0
245,../Dataset/train\rabbits\rabbits245.jpg,0,0
246,../Dataset/train\rabbits\rabbits246.jpg,0,0
247,../Dataset/train\rabbits\rabbits247.jpg,0,0
248,../Dataset/train\rabbits\rabbits248.jpg,0,0
249,../Dataset/train\rabbits\rabbits249.jpg,0,0
250,../Dataset/train\rabbits\rabbits250.jpg,0,0
251,../Dataset/train\rabbits\rabbits251.jpg,0,0
252,../Dataset/train\rabbits\rabbits252.jpg,0,0
253,../Dataset/train\rabbits\rabbits253.jpg,0,0
254,../Dataset/train\rabbits\rabbits254.jpg,0,0
255,../Dataset/train\rabbits\rabbits255.jpg,0,0
256,../Dataset/train\rabbits\rabbits256.jpg,0,0
257,../Dataset/train\rabbits\rabbits257.jpg,0,0
258,../Dataset/train\rabbits\rabbits258.jpg,0,0
259,../Dataset/train\rabbits\rabbits259.jpg,0,0
260,../Dataset/train\rabbits\rabbits260.jpg,0,0
261,../Dataset/train\rabbits\rabbits261.jpg,0,0
262,../Dataset/train\rabbits\rabbits262.jpg,0,0
263,../Dataset/train\rabbits\rabbits263.jpg,0,0
264,../Dataset/train\rabbits\rabbits264.jpg,0,0
265,../Dataset/train\rabbits\rabbits265.jpg,0,0
266,../Dataset/train\rabbits\rabbits266.jpg,0,0
267,../Dataset/train\rabbits\rabbits267.jpg,0,0
268,../Dataset/train\rabbits\rabbits268.jpg,0,0
269,../Dataset/train\rabbits\rabbits269.jpg,0,0
270,../Dataset/train\rabbits\rabbits270.jpg,0,0
271,../Dataset/train\rabbits\rabbits271.jpg,0,0
272,../Dataset/train\rabbits\rabbits272.jpg,0,0
273,../Dataset/train\rabbits\rabbits273.jpg,0,0
274,../Dataset/train\rabbits\rabbits274.jpg,0,0
275,../Dataset/train\rabbits\rabbits275.jpg,0,0
276,../Dataset/train\rabbits\rabbits276.jpg,0,0
277,../Dataset/train\rabbits\rabbits277.jpg,0,0
278,../Dataset/train\rabbits\rabbits278.jpg,0,0
279,../Dataset/train\rabbits\rabbits279.jpg,0,0
280,../Dataset/train\rabbits\rabbits280.jpg,0,0
281,../Dataset/train\rabbits\rabbits281.jpg,0,0
282,../Dataset/train\rabbits\rabbits282.jpg,0,0
283,../Dataset/train\rabbits\rabbits283.jpg,0,0
284,../Dataset/train\rabbits\rabbits284.jpg,0,0
285,../Dataset/train\rabbits\rabbits285.jpg,0,0
286,../Dataset/train\rabbits\rabbits286.jpg,0,0
287,../Dataset/train\rabbits\rabbits287.jpg,0,0
288,../Dataset/train\rabbits\rabbits288.jpg,0,0
289,../Dataset/train\rabbits\rabbits289.jpg,0,0
290,../Dataset/train\rabbits\rabbits290.jpg,0,0
291,../Dataset/train\rabbits\rabbits291.jpg,0,0
292,../Dataset/train\rabbits\rabbits292.jpg,0,0
293,../Dataset/train\rabbits\rabbits293.jpg,0,0
294,../Dataset/train\rabbits\rabbits294.jpg,0,0
295,../Dataset/train\rabbits\rabbits295.jpg,0,0
296,../Dataset/train\rabbits\rabbits296.jpg,0,0
297,../Dataset/train\rabbits\rabbits297.jpg,0,0
298,../Dataset/train\rabbits\rabbits298.jpg,0,0
299,../Dataset/train\rabbits\rabbits299.jpg,0,0
300,../Dataset/train\rabbits\rabbits300.jpg,0,0
301,../Dataset/train\rabbits\rabbits301.jpg,0,0
302,../Dataset/train\rabbits\rabbits302.jpg,0,0
303,../Dataset/train\rabbits\rabbits303.jpg,0,0
304,../Dataset/train\rabbits\rabbits304.jpg,0,0
305,../Dataset/train\rabbits\rabbits305.jpg,0,0
306,../Dataset/train\rabbits\rabbits306.jpg,0,0
307,../Dataset/train\rabbits\rabbits307.jpg,0,0
308,../Dataset/train\rabbits\rabbits308.jpg,0,0
309,../Dataset/train\rabbits\rabbits309.jpg,0,0
310,../Dataset/train\rats\rats000.jpg,0,1
311,../Dataset/train\rats\rats001.jpg,0,1
312,../Dataset/train\rats\rats002.jpg,0,1
313,../Dataset/train\rats\rats003.jpg,0,1
314,../Dataset/train\rats\rats004.jpg,0,1
315,../Dataset/train\rats\rats005.jpg,0,1
316,../Dataset/train\rats\rats006.jpg,0,1
317,../Dataset/train\rats\rats007.jpg,0,1
318,../Dataset/train\rats\rats008.jpg,0,1
319,../Dataset/train\rats\rats009.jpg,0,1
320,../Dataset/train\rats\rats010.jpg,0,1
321,../Dataset/train\rats\rats011.jpg,0,1
322,../Dataset/train\rats\rats012.jpg,0,1
323,../Dataset/train\rats\rats013.jpg,0,1
324,../Dataset/train\rats\rats014.jpg,0,1
325,../Dataset/train\rats\rats015.jpg,0,1
326,../Dataset/train\rats\rats016.jpg,0,1
327,../Dataset/train\rats\rats017.jpg,0,1
328,../Dataset/train\rats\rats018.jpg,0,1
329,../Dataset/train\rats\rats019.jpg,0,1
330,../Dataset/train\rats\rats020.jpg,0,1
331,../Dataset/train\rats\rats021.jpg,0,1
332,../Dataset/train\rats\rats022.jpg,0,1
333,../Dataset/train\rats\rats023.jpg,0,1
334,../Dataset/train\rats\rats024.jpg,0,1
335,../Dataset/train\rats\rats025.jpg,0,1
336,../Dataset/train\rats\rats026.jpg,0,1
337,../Dataset/train\rats\rats027.jpg,0,1
338,../Dataset/train\rats\rats028.jpg,0,1
339,../Dataset/train\rats\rats029.jpg,0,1
340,../Dataset/train\rats\rats030.jpg,0,1
341,../Dataset/train\rats\rats031.jpg,0,1
342,../Dataset/train\rats\rats032.jpg,0,1
343,../Dataset/train\rats\rats033.jpg,0,1
344,../Dataset/train\rats\rats034.jpg,0,1
345,../Dataset/train\rats\rats035.jpg,0,1
346,../Dataset/train\rats\rats036.jpg,0,1
347,../Dataset/train\rats\rats037.jpg,0,1
348,../Dataset/train\rats\rats038.jpg,0,1
349,../Dataset/train\rats\rats039.jpg,0,1
350,../Dataset/train\rats\rats040.jpg,0,1
351,../Dataset/train\rats\rats041.jpg,0,1
352,../Dataset/train\rats\rats042.jpg,0,1
353,../Dataset/train\rats\rats043.jpg,0,1
354,../Dataset/train\rats\rats044.jpg,0,1
355,../Dataset/train\rats\rats045.jpg,0,1
356,../Dataset/train\rats\rats046.jpg,0,1
357,../Dataset/train\rats\rats047.jpg,0,1
358,../Dataset/train\rats\rats048.jpg,0,1
359,../Dataset/train\rats\rats049.jpg,0,1
360,../Dataset/train\rats\rats050.jpg,0,1
361,../Dataset/train\rats\rats051.jpg,0,1
362,../Dataset/train\rats\rats052.jpg,0,1
363,../Dataset/train\rats\rats053.jpg,0,1
364,../Dataset/train\rats\rats054.jpg,0,1
365,../Dataset/train\rats\rats055.jpg,0,1
366,../Dataset/train\rats\rats056.jpg,0,1
367,../Dataset/train\rats\rats057.jpg,0,1
368,../Dataset/train\rats\rats058.jpg,0,1
369,../Dataset/train\rats\rats059.jpg,0,1
370,../Dataset/train\rats\rats060.jpg,0,1
371,../Dataset/train\rats\rats061.jpg,0,1
372,../Dataset/train\rats\rats062.jpg,0,1
373,../Dataset/train\rats\rats063.jpg,0,1
374,../Dataset/train\rats\rats064.jpg,0,1
375,../Dataset/train\rats\rats065.jpg,0,1
376,../Dataset/train\rats\rats066.jpg,0,1
377,../Dataset/train\rats\rats067.jpg,0,1
378,../Dataset/train\rats\rats068.jpg,0,1
379,../Dataset/train\rats\rats069.jpg,0,1
380,../Dataset/train\rats\rats070.jpg,0,1
381,../Dataset/train\rats\rats071.jpg,0,1
382,../Dataset/train\rats\rats072.jpg,0,1
383,../Dataset/train\rats\rats073.jpg,0,1
384,../Dataset/train\rats\rats074.jpg,0,1
385,../Dataset/train\rats\rats075.jpg,0,1
386,../Dataset/train\rats\rats076.jpg,0,1
387,../Dataset/train\rats\rats077.jpg,0,1
388,../Dataset/train\rats\rats078.jpg,0,1
389,../Dataset/train\rats\rats079.jpg,0,1
390,../Dataset/train\rats\rats080.jpg,0,1
391,../Dataset/train\rats\rats081.jpg,0,1
392,../Dataset/train\rats\rats082.jpg,0,1
393,../Dataset/train\rats\rats083.jpg,0,1
394,../Dataset/train\rats\rats084.jpg,0,1
395,../Dataset/train\rats\rats085.jpg,0,1
396,../Dataset/train\rats\rats086.jpg,0,1
397,../Dataset/train\rats\rats087.jpg,0,1
398,../Dataset/train\rats\rats088.jpg,0,1
399,../Dataset/train\rats\rats089.jpg,0,1
400,../Dataset/train\rats\rats090.jpg,0,1
401,../Dataset/train\rats\rats091.jpg,0,1
402,../Dataset/train\rats\rats092.jpg,0,1
403,../Dataset/train\rats\rats093.jpg,0,1
404,../Dataset/train\rats\rats094.jpg,0,1
405,../Dataset/train\rats\rats095.jpg,0,1
406,../Dataset/train\rats\rats096.jpg,0,1
407,../Dataset/train\rats\rats097.jpg,0,1
408,../Dataset/train\rats\rats098.jpg,0,1
409,../Dataset/train\rats\rats099.jpg,0,1
410,../Dataset/train\rats\rats100.jpg,0,1
411,../Dataset/train\rats\rats101.jpg,0,1
412,../Dataset/train\rats\rats102.jpg,0,1
413,../Dataset/train\rats\rats103.jpg,0,1
414,../Dataset/train\rats\rats104.jpg,0,1
415,../Dataset/train\rats\rats105.jpg,0,1
416,../Dataset/train\rats\rats106.jpg,0,1
417,../Dataset/train\rats\rats107.jpg,0,1
418,../Dataset/train\rats\rats108.jpg,0,1
419,../Dataset/train\rats\rats109.jpg,0,1
420,../Dataset/train\rats\rats110.jpg,0,1
421,../Dataset/train\rats\rats111.jpg,0,1
422,../Dataset/train\rats\rats112.jpg,0,1
423,../Dataset/train\rats\rats113.jpg,0,1
424,../Dataset/train\rats\rats114.jpg,0,1
425,../Dataset/train\rats\rats115.jpg,0,1
426,../Dataset/train\rats\rats116.jpg,0,1
427,../Dataset/train\rats\rats117.jpg,0,1
428,../Dataset/train\rats\rats118.jpg,0,1
429,../Dataset/train\rats\rats119.jpg,0,1
430,../Dataset/train\rats\rats120.jpg,0,1
431,../Dataset/train\rats\rats121.jpg,0,1
432,../Dataset/train\rats\rats122.jpg,0,1
433,../Dataset/train\rats\rats123.jpg,0,1
434,../Dataset/train\rats\rats124.jpg,0,1
435,../Dataset/train\rats\rats125.jpg,0,1
436,../Dataset/train\rats\rats126.jpg,0,1
437,../Dataset/train\rats\rats127.jpg,0,1
438,../Dataset/train\rats\rats128.jpg,0,1
439,../Dataset/train\rats\rats129.jpg,0,1
440,../Dataset/train\rats\rats130.jpg,0,1
441,../Dataset/train\rats\rats131.jpg,0,1
442,../Dataset/train\rats\rats132.jpg,0,1
443,../Dataset/train\rats\rats133.jpg,0,1
444,../Dataset/train\rats\rats134.jpg,0,1
445,../Dataset/train\rats\rats135.jpg,0,1
446,../Dataset/train\rats\rats136.jpg,0,1
447,../Dataset/train\rats\rats137.jpg,0,1
448,../Dataset/train\rats\rats138.jpg,0,1
449,../Dataset/train\rats\rats139.jpg,0,1
450,../Dataset/train\rats\rats140.jpg,0,1
451,../Dataset/train\rats\rats141.jpg,0,1
452,../Dataset/train\rats\rats142.jpg,0,1
